organization,title,start,end
UBC,Coordinator for the 4th year Engineering Technical Report course,1982,1985
EECE,Organizer of the department weekly seminar,1984,1987
IEEE UBC Chapter,Student Counselor,1985,1987
EECE,Courses Time Tabling for EECE Dept.,1986,1987
EECE,Undergraduate Student Advisor (3rd year),1988,1996
UBC,Responsible for the Imaging Lab development,1989,Present
MITACS,Reviewer of accelerate PDF program,2011,present
