authors,title,journal,link
"A. Majumdar and R. K. Ward","MRI: Physics, Image Reconstruction, and Analysis","CRC Press, 2015",
"R. M. Gray, Sh. Hemami, E. Riskin, R. K. Ward, S. Brainard, P. Cosman, N.n Fortenberry, J. Rutledge, and T. Whitney","Mentoring for Engineering Academia II","2008",
